pass,block,t_start,t_end,T_block,eval_mean_loss,eval_std_loss,eval_mean_loss_per_sample,eval_std_loss_per_sample,eval_mean_y0,precision_target,refine_rounds,stage_plan_used,final_plan_used,refine_plan_used,blob_path,ckpt_path
2,0,0.0,12.0,12.0,6051.359375,2462.8453469605925,1.5128398437500001,0.6157113367401481,-30.853544235229492,7164.145231933594,0,"[[7000, 0.0001], [6000, 5e-05], [5000, 2e-05]]","[[5000, 1e-05], [4000, 5e-06], [3000, 2e-06]]","[[1500, 5e-06], [1500, 2e-06], [1200, 1e-06]]",alessio/recursive1_outputs/heavy_from_zero/run_20260302_170351/recursive/models/pass_2/block_00.npz,alessio/recursive1_outputs/heavy_from_zero/run_20260302_170351/recursive/models/pass_2/block_00.ckpt
2,1,12.0,24.0,12.0,478.4954895019531,6.729797110955806,0.11962387237548829,0.0016824492777389544,-40.0346794128418,2451.0415380859376,0,"[[5000, 0.0002], [5000, 0.0001], [4000, 5e-05]]","[[3500, 1e-05], [3000, 5e-06], [2500, 2e-06]]","[[1200, 5e-06], [1200, 2e-06], [800, 1e-06]]",alessio/recursive1_outputs/heavy_from_zero/run_20260302_170351/recursive/models/pass_2/block_01.npz,alessio/recursive1_outputs/heavy_from_zero/run_20260302_170351/recursive/models/pass_2/block_01.ckpt
2,2,24.0,36.0,12.0,482.5572265625,10.74299512251973,0.12063930664062501,0.00268574878062993,-25.717147827148438,5163.190581054688,0,"[[5000, 0.0002], [5000, 0.0001], [4000, 5e-05]]","[[3500, 1e-05], [3000, 5e-06], [2500, 2e-06]]","[[1200, 5e-06], [1200, 2e-06], [800, 1e-06]]",alessio/recursive1_outputs/heavy_from_zero/run_20260302_170351/recursive/models/pass_2/block_02.npz,alessio/recursive1_outputs/heavy_from_zero/run_20260302_170351/recursive/models/pass_2/block_02.ckpt
2,3,36.0,48.0,12.0,520.3413330078125,20.28592755921176,0.13008533325195312,0.005071481889802943,-16.983631134033203,2555.1685693359377,0,"[[5000, 0.0002], [5000, 0.0001], [4000, 5e-05]]","[[3500, 1e-05], [3000, 5e-06], [2500, 2e-06]]","[[1200, 5e-06], [1200, 2e-06], [800, 1e-06]]",alessio/recursive1_outputs/heavy_from_zero/run_20260302_170351/recursive/models/pass_2/block_03.npz,alessio/recursive1_outputs/heavy_from_zero/run_20260302_170351/recursive/models/pass_2/block_03.ckpt
