pass,block,t_start,t_end,T_block,eval_mean_loss,eval_std_loss,eval_mean_loss_per_sample,eval_std_loss_per_sample,eval_mean_y0,precision_target,refine_rounds,stage_plan_used,final_plan_used,refine_plan_used,blob_path,ckpt_path
1,0,0.0,1.0,1.0,942.9274291992188,226.1761213224916,0.4714637145996094,0.1130880606612458,-8.884472846984863,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_00.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_00.ckpt
1,1,1.0,2.0,1.0,1795.706689453125,793.8761879608047,0.8978533447265626,0.3969380939804024,-9.926383018493652,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_01.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_01.ckpt
1,2,2.0,3.0,1.0,1220.5945068359374,493.9557571604341,0.6102972534179687,0.246977878580217,-10.287908554077148,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_02.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_02.ckpt
1,3,3.0,4.0,1.0,1415.2588134765624,823.4716892388707,0.7076294067382813,0.4117358446194354,-10.951889991760254,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_03.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_03.ckpt
1,4,4.0,5.0,1.0,1248.0316040039063,280.9851534879392,0.6240158020019531,0.14049257674396962,-11.256898880004883,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_04.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_04.ckpt
1,5,5.0,6.0,1.0,1152.7097290039062,499.7742954259837,0.5763548645019532,0.24988714771299186,-11.393162727355957,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_05.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_05.ckpt
1,6,6.0,7.0,1.0,1179.6143920898437,253.49883565459967,0.5898071960449218,0.12674941782729984,-11.9130277633667,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_06.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_06.ckpt
1,7,7.0,8.0,1.0,1050.2932006835938,357.49738065814654,0.5251466003417968,0.17874869032907328,-12.129707336425781,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_07.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_07.ckpt
1,8,8.0,9.0,1.0,1406.3994750976562,600.2187489991311,0.7031997375488281,0.3001093744995655,-13.336776733398438,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_08.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_08.ckpt
1,9,9.0,10.0,1.0,1097.1372436523438,278.2656577063779,0.5485686218261719,0.13913282885318895,-14.552645683288574,698.0249133300782,3,"[[1200, 0.0001], [1200, 5e-05]]","[[800, 1e-05], [800, 5e-06]]","[[80, 1e-05], [80, 5e-06]]",results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_09.npz,results/t12_b10_base_xpass_ws/run_20260311_130314/recursive/models/pass_1/block_09.ckpt
