t,mean_abs_error_y,mean_abs_error_Z_S,mean_rel_error_Z_S,mean_rel_error_Z_S_legacy,mean_abs_error_Z_H,mean_rel_error_Z_H,mean_rel_error_Z_H_legacy,mean_abs_error_Z_V,mean_rel_error_Z_V,mean_rel_error_Z_V_legacy,mean_abs_error_Z_X,mean_rel_error_Z_X,mean_rel_error_Z_X_legacy
0.0,4.094539165496826,3.7665843963623047,0.21551965177059174,0.21551965177059174,0.22654269635677338,0.0,22654264.0,0.24360798299312592,0.3069531321525574,0.3069531321525574,0.0,0.0,0.0
0.02500000037252903,3.8636960983276367,3.586703300476074,0.21098770201206207,0.21098770201206207,0.22238142788410187,0.0,22238128.0,0.236436128616333,0.28689947724342346,0.28689947724342346,0.0,0.0,0.0
0.05000000074505806,3.617408514022827,3.390583038330078,0.20252376794815063,0.20252376794815063,0.2162477821111679,0.0,21624796.0,0.2301582545042038,0.36991870403289795,0.36991870403289795,0.0,0.0,0.0
0.07500000298023224,3.3989710807800293,3.229910373687744,0.19586020708084106,0.19586020708084106,0.21018508076667786,0.0,21018534.0,0.22526410222053528,0.24417614936828613,0.24417614936828613,0.0,0.0,0.0
0.10000000149011612,3.2119455337524414,3.0786502361297607,0.19032177329063416,0.19032177329063416,0.20328836143016815,0.0,20328808.0,0.21924927830696106,0.3116696774959564,0.3116696774959564,0.0,0.0,0.0
0.125,3.0708365440368652,2.9501686096191406,0.1848851889371872,0.1848851889371872,0.19496716558933258,0.0,19496682.0,0.21044470369815826,0.2378734052181244,0.2378734052181244,0.0,0.0,0.0
0.15000000596046448,2.8684887886047363,2.7776243686676025,0.17529283463954926,0.17529283463954926,0.19089891016483307,0.0,19089888.0,0.2018744945526123,0.1793060153722763,0.1793060153722763,0.0,0.0,0.0
0.17500001192092896,2.66383957862854,2.614377021789551,0.16916093230247498,0.16916093230247498,0.18033108115196228,0.0,18033102.0,0.19185113906860352,0.24348880350589752,0.24348880350589752,0.0,0.0,0.0
0.20000001788139343,2.4874515533447266,2.458261013031006,0.1627139002084732,0.1627139002084732,0.17210350930690765,0.0,17210368.0,0.18688690662384033,0.22121268510818481,0.22121268510818481,0.0,0.0,0.0
0.2250000238418579,2.3740780353546143,2.3524744510650635,0.1605081856250763,0.1605081856250763,0.16503764688968658,0.0,16503755.0,0.17986531555652618,0.17425484955310822,0.17425484955310822,0.0,0.0,0.0
0.2500000298023224,2.2351999282836914,2.2334187030792236,0.15401558578014374,0.15401558578014374,0.15906845033168793,0.0,15906835.0,0.17531797289848328,0.14314374327659607,0.14314374327659607,0.0,0.0,0.0
0.27500003576278687,2.147935390472412,2.165513753890991,0.15104162693023682,0.15104162693023682,0.1521940380334854,0.0,15219412.0,0.16742528975009918,1.572164535522461,1.572164535522461,0.0,0.0,0.0
0.30000004172325134,2.080901861190796,2.0954222679138184,0.1471208930015564,0.1471208930015564,0.1489848792552948,0.0,14898494.0,0.1603136509656906,0.12316720932722092,0.12316720932722092,0.0,0.0,0.0
0.3250000476837158,1.9502109289169312,1.9900022745132446,0.14351336658000946,0.14351336658000946,0.14221370220184326,0.0,14221365.0,0.15316781401634216,0.12099231034517288,0.12099231034517288,0.0,0.0,0.0
0.3500000536441803,1.8528591394424438,1.9122769832611084,0.13935182988643646,0.13935182988643646,0.13517417013645172,0.0,13517423.0,0.147837832570076,0.13065992295742035,0.13065992295742035,0.0,0.0,0.0
0.3750000596046448,1.7836737632751465,1.855712652206421,0.13629966974258423,0.13629966974258423,0.1311570554971695,0.0,13115694.0,0.14285928010940552,0.11091215163469315,0.11091215163469315,0.0,0.0,0.0
0.40000006556510925,1.6938250064849854,1.7851097583770752,0.1341586858034134,0.1341586858034134,0.12524361908435822,0.0,12524370.0,0.1380184292793274,0.11389640718698502,0.11389640718698502,0.0,0.0,0.0
0.42500007152557373,1.6293848752975464,1.7381845712661743,0.1323062926530838,0.1323062926530838,0.12048453837633133,0.0,12048466.0,0.13349439203739166,0.15930598974227905,0.15930598974227905,0.0,0.0,0.0
0.4500000774860382,1.5691965818405151,1.6991349458694458,0.1309904158115387,0.1309904158115387,0.11682617664337158,0.0,11682622.0,0.12898856401443481,0.09610361605882645,0.09610361605882645,0.0,0.0,0.0
0.4750000834465027,1.5075438022613525,1.6566038131713867,0.12954846024513245,0.12954846024513245,0.11398100107908249,0.0,11398096.0,0.12620018422603607,0.15845441818237305,0.15845441818237305,0.0,0.0,0.0
0.5000000596046448,1.4194549322128296,1.5868306159973145,0.12944072484970093,0.12944072484970093,0.10965608805418015,0.0,10965620.0,0.12111810594797134,0.12420205771923065,0.12420205771923065,0.0,0.0,0.0
