Timestamp,Y_Sim,Y_True,Error_Rel_Pct,Duration_Sec,X0,r,sigma,T,n_paths,n_steps,basis_knots
2026-01-22 16:47:11,4.386255,4.385330,2.1094e-04,0.5328,100.0,0.05,0.3,1.0,10000,100,10
2026-01-25 18:36:22,4.386641,4.385330,2.9904e-04,0.6653,100.0,0.05,0.3,1.0,10000,100,10
2026-01-30 10:02:53,4.387536,4.385330,5.0326e-04,0.6728,100.0,0.05,0.3,1.0,10000,100,10
