t,mean_abs_error_y,mean_abs_error_Z_S,mean_rel_error_Z_S,mean_rel_error_Z_S_legacy,mean_abs_error_Z_H,mean_rel_error_Z_H,mean_rel_error_Z_H_legacy,mean_abs_error_Z_V,mean_rel_error_Z_V,mean_rel_error_Z_V_legacy,mean_abs_error_Z_X,mean_rel_error_Z_X,mean_rel_error_Z_X_legacy
0.0,11.447145462036133,4.977858066558838,0.2688465714454651,0.2688465714454651,0.2091640681028366,0.0,20916378.0,0.594646692276001,0.4979742765426636,0.4979742765426636,0.0,0.0,0.0
0.02500000037252903,11.185091018676758,4.77394437789917,0.26523998379707336,0.26523998379707336,0.20541433990001678,0.0,20541438.0,0.5923787355422974,0.3739537298679352,0.3739537298679352,0.0,0.0,0.0
0.05000000074505806,10.901898384094238,4.551266670227051,0.2596552073955536,0.2596552073955536,0.2017248123884201,0.0,20172490.0,0.5897761583328247,0.555332601070404,0.555332601070404,0.0,0.0,0.0
0.07500000298023224,10.66336441040039,4.3664021492004395,0.25584113597869873,0.25584113597869873,0.1976560354232788,0.0,19765610.0,0.5876129865646362,0.6442266702651978,0.6442266702651978,0.0,0.0,0.0
0.10000000149011612,10.455292701721191,4.1990156173706055,0.2528218924999237,0.2528218924999237,0.19456687569618225,0.0,19456682.0,0.5864133238792419,0.439911812543869,0.439911812543869,0.0,0.0,0.0
0.125,10.292318344116211,4.070589065551758,0.25054654479026794,0.25054654479026794,0.1907949000597,0.0,19079500.0,0.5850881934165955,0.397785484790802,0.397785484790802,0.0,0.0,0.0
0.15000000596046448,10.08273983001709,3.9002976417541504,0.24590659141540527,0.24590659141540527,0.18651334941387177,0.0,18651320.0,0.5832958817481995,0.43278348445892334,0.43278348445892334,0.0,0.0,0.0
0.17500001192092896,9.860215187072754,3.7232377529144287,0.24251632392406464,0.24251632392406464,0.18181930482387543,0.0,18181950.0,0.5817487239837646,0.4104316532611847,0.4104316532611847,0.0,0.0,0.0
0.20000001788139343,9.66225528717041,3.559802293777466,0.2399982064962387,0.2399982064962387,0.17729490995407104,0.0,17729496.0,0.5810771584510803,0.5923277735710144,0.5923277735710144,0.0,0.0,0.0
0.2250000238418579,9.536778450012207,3.464787483215332,0.23940491676330566,0.23940491676330566,0.17351821064949036,0.0,17351828.0,0.579511284828186,0.42168498039245605,0.42168498039245605,0.0,0.0,0.0
0.2500000298023224,9.38158130645752,3.3335604667663574,0.23577405512332916,0.23577405512332916,0.17084865272045135,0.0,17084876.0,0.5810868144035339,0.3630145192146301,0.3630145192146301,0.0,0.0,0.0
0.27500003576278687,9.29442310333252,3.2543935775756836,0.23442481458187103,0.23442481458187103,0.16833165287971497,0.0,16833164.0,0.5789651870727539,10.320465087890625,10.320465087890625,0.0,0.0,0.0
0.30000004172325134,9.224021911621094,3.183687925338745,0.23284265398979187,0.23284265398979187,0.1657055914402008,0.0,16570562.0,0.5805614590644836,0.34698671102523804,0.34698671102523804,0.0,0.0,0.0
0.3250000476837158,9.087678909301758,3.0793323516845703,0.23172716796398163,0.23172716796398163,0.16181661188602448,0.0,16181649.0,0.5795145034790039,0.4058924913406372,0.4058924913406372,0.0,0.0,0.0
0.3500000536441803,8.989720344543457,3.003100872039795,0.2304200530052185,0.2304200530052185,0.1582881212234497,0.0,15828819.0,0.579566478729248,0.37767598032951355,0.37767598032951355,0.0,0.0,0.0
0.3750000596046448,8.923884391784668,2.9496941566467285,0.22985652089118958,0.22985652089118958,0.1561708003282547,0.0,15617082.0,0.5801432132720947,0.3502601385116577,0.3502601385116577,0.0,0.0,0.0
0.40000006556510925,8.82287883758545,2.872497797012329,0.22935450077056885,0.22935450077056885,0.15354055166244507,0.0,15354049.0,0.5803461670875549,0.36658671498298645,0.36658671498298645,0.0,0.0,0.0
0.42500007152557373,8.754631042480469,2.8169970512390137,0.22899143397808075,0.22899143397808075,0.15025950968265533,0.0,15025964.0,0.5803701281547546,0.4796312153339386,0.4796312153339386,0.0,0.0,0.0
0.4500000774860382,8.701637268066406,2.7747080326080322,0.228840634226799,0.228840634226799,0.14723341166973114,0.0,14723343.0,0.578461766242981,0.3207519054412842,0.3207519054412842,0.0,0.0,0.0
0.4750000834465027,8.653922080993652,2.734520435333252,0.2288644015789032,0.2288644015789032,0.14374521374702454,0.0,14374527.0,0.5776966214179993,0.5209404826164246,0.5209404826164246,0.0,0.0,0.0
0.5000000596046448,8.572955131530762,2.6652748584747314,0.23037272691726685,0.23037272691726685,0.1416551023721695,0.0,14165491.0,0.5775393843650818,0.39173394441604614,0.39173394441604614,0.0,0.0,0.0
0.5250000357627869,8.487537384033203,2.592489719390869,0.22990837693214417,0.22990837693214417,0.13889391720294952,0.0,13889371.0,0.5783427357673645,0.40745535492897034,0.40745535492897034,0.0,0.0,0.0
0.550000011920929,8.419134140014648,2.535459041595459,0.23033541440963745,0.23033541440963745,0.13679136335849762,0.0,13679136.0,0.5769772529602051,0.5240342617034912,0.5240342617034912,0.0,0.0,0.0
