t,mean_abs_error_y,mean_abs_error_Z_S,mean_rel_error_Z_S,mean_abs_error_Z_H,mean_rel_error_Z_H,mean_abs_error_Z_V,mean_rel_error_Z_V,mean_abs_error_Z_X,mean_rel_error_Z_X
0.0,154.2215576171875,1.6261438131332397,0.2107391655445099,0.211001917719841,21100196.0,0.6952550411224365,1.2230119705200195,0.0,0.0
0.11999999731779099,154.30287170410156,1.2054455280303955,0.1975102424621582,0.14795641601085663,14795635.0,0.6450748443603516,0.5500781536102295,0.0,0.0
0.23999999463558197,154.21731567382812,0.9852972626686096,0.19066733121871948,0.09671487659215927,9671493.0,0.6159355640411377,0.7402299642562866,0.0,0.0
0.35999998450279236,154.04205322265625,1.0092394351959229,0.19384947419166565,0.07401276379823685,7401273.5,0.6207634806632996,0.6366958618164062,0.0,0.0
0.47999998927116394,153.8646240234375,1.0719976425170898,0.20703229308128357,0.06631658971309662,6631651.0,0.6294940710067749,0.6365858912467957,0.0,0.0
0.5999999642372131,153.72900390625,1.0970165729522705,0.2134697586297989,0.05913199856877327,5913197.0,0.6358336210250854,0.8100515604019165,0.0,0.0
0.7199999690055847,153.58995056152344,1.1559823751449585,0.22906580567359924,0.0557449534535408,5574498.5,0.6407266855239868,0.6327497959136963,0.0,0.0
0.8399999737739563,153.45742797851562,1.1804988384246826,0.3082130551338196,0.05137950927019119,5137954.0,0.6403241753578186,0.4559730589389801,0.0,0.0
0.9599999785423279,153.29605102539062,1.2506250143051147,0.268311470746994,0.04807674512267113,4807673.0,0.6487525105476379,1.3061715364456177,0.0,0.0
1.0799999237060547,153.2054901123047,1.250146746635437,0.2839171588420868,0.04496186599135399,4496189.5,0.6534423232078552,0.46475496888160706,0.0,0.0
1.1999999284744263,153.141357421875,1.2252917289733887,0.2532568573951721,0.04291672632098198,4291672.5,0.6580796241760254,1.1013771295547485,0.0,0.0
1.3199999332427979,153.04733276367188,1.2451112270355225,0.6080669164657593,0.04184471815824509,4184473.0,0.6627137660980225,0.6216593980789185,0.0,0.0
1.4399999380111694,152.97474670410156,1.2761582136154175,0.4219939708709717,0.0393206886947155,3932069.5,0.6600752472877502,0.5342814326286316,0.0,0.0
1.559999942779541,152.8964080810547,1.2743715047836304,0.2856982350349426,0.03765816614031792,3765816.25,0.6592052578926086,0.564018726348877,0.0,0.0
1.6799999475479126,152.83177185058594,1.2411441802978516,0.3310028910636902,0.035090479999780655,3509049.25,0.6658214330673218,0.5892991423606873,0.0,0.0
1.7999999523162842,152.74603271484375,1.2585266828536987,0.488059937953949,0.03397015482187271,3397014.75,0.6647407412528992,0.48977985978126526,0.0,0.0
1.9199999570846558,152.6361541748047,1.2880955934524536,0.42238709330558777,0.032167647033929825,3216762.5,0.6566910147666931,0.4262706935405731,0.0,0.0
2.0399999618530273,152.5885772705078,1.2439826726913452,0.46028050780296326,0.03085295297205448,3085299.0,0.6607427000999451,0.6254879236221313,0.0,0.0
2.1599998474121094,152.54161071777344,1.2541992664337158,0.34462013840675354,0.028583776205778122,2858377.5,0.6612541079521179,0.5910402536392212,0.0,0.0
2.2799997329711914,152.4592742919922,1.269697666168213,0.34594959020614624,0.028678670525550842,2867867.75,0.6577145457267761,0.45071643590927124,0.0,0.0
