Timestamp,Y_Sim,Y_True,Error_Rel_Pct,Duration_Sec,S0,T,r,sigma,N_paths,N_steps,Knots
2026-01-22 15:35:10,109.771803,109.417428,0.3239,0.9893,10.0,1.0,0.05,0.2,20000,50,20
2026-01-25 18:24:44,109.173842,109.417428,0.2226,1.4316,10.0,1.0,0.05,0.2,20000,50,20
2026-01-30 10:04:27,109.503713,109.417428,0.0789,1.7133,10.0,1.0,0.05,0.2,20000,50,20
