pass,block,t_start,t_end,T_block,eval_mean_loss,eval_std_loss,eval_mean_y0,precision_target,refine_rounds,stage_plan_used,final_plan_used,refine_plan_used,blob_path,ckpt_path
2,0,0.0,12.0,12.0,1127.03017578125,23.888393943529035,-30.009231567382812,678.2769055175781,3,"[[1500, 0.0001], [1500, 5e-05]]","[[1000, 1e-05], [1000, 5e-06]]","[[300, 1e-05], [300, 5e-06]]",recursive1_outputs/run_20260218_181518/recursive/models/pass_2/block_00.npz,recursive1_outputs/run_20260218_181518/recursive/models/pass_2/block_00.ckpt
2,1,12.0,24.0,12.0,612.9801635742188,9.507716236316773,-18.234224319458008,678.2769055175781,0,"[[1500, 0.0001], [1500, 5e-05]]","[[1000, 1e-05], [1000, 5e-06]]","[[300, 1e-05], [300, 5e-06]]",recursive1_outputs/run_20260218_181518/recursive/models/pass_2/block_01.npz,recursive1_outputs/run_20260218_181518/recursive/models/pass_2/block_01.ckpt
2,2,24.0,36.0,12.0,616.6153686523437,3.04496189318695,-14.939369201660156,,0,"[[1500, 0.0001], [1500, 5e-05]]","[[1000, 1e-05], [1000, 5e-06]]","[[300, 1e-05], [300, 5e-06]]",recursive1_outputs/run_20260218_181518/recursive/models/pass_2/block_02.npz,recursive1_outputs/run_20260218_181518/recursive/models/pass_2/block_02.ckpt
