t,mean_abs_error_y,mean_abs_error_Z_S,mean_rel_error_Z_S,mean_rel_error_Z_S_legacy,mean_abs_error_Z_H,mean_rel_error_Z_H,mean_rel_error_Z_H_legacy,mean_abs_error_Z_V,mean_rel_error_Z_V,mean_rel_error_Z_V_legacy,mean_abs_error_Z_X,mean_rel_error_Z_X,mean_rel_error_Z_X_legacy
0.0,0.7099578976631165,0.4735172688961029,0.04810759052634239,0.04810759052634239,0.030204443261027336,0.0,3020443.0,0.0835380107164383,0.21922366321086884,0.21922366321086884,0.0,0.0,0.0
0.02500000037252903,0.6923123598098755,0.48905739188194275,0.04741521179676056,0.04741521179676056,0.02939392812550068,0.0,2939394.75,0.0807977169752121,0.2114933580160141,0.2114933580160141,0.0,0.0,0.0
0.05000000074505806,0.6679309606552124,0.47026121616363525,0.04731491580605507,0.04731491580605507,0.027977049350738525,0.0,2797707.25,0.0782492533326149,0.6205877065658569,0.6205877065658569,0.0,0.0,0.0
0.07500000298023224,0.6590024828910828,0.47532448172569275,0.04688037931919098,0.04688037931919098,0.02677859738469124,0.0,2677857.75,0.07698412984609604,0.19404126703739166,0.19404126703739166,0.0,0.0,0.0
0.10000000149011612,0.6536396741867065,0.4813140034675598,0.047485195100307465,0.047485195100307465,0.025723695755004883,0.0,2572369.25,0.07642893493175507,0.17829744517803192,0.17829744517803192,0.0,0.0,0.0
0.125,0.6409659385681152,0.4656168520450592,0.04739855229854584,0.04739855229854584,0.024593502283096313,0.0,2459350.0,0.07559773325920105,0.1233242079615593,0.1233242079615593,0.0,0.0,0.0
0.15000000596046448,0.6166865229606628,0.4259636402130127,0.046947915107011795,0.046947915107011795,0.023694317787885666,0.0,2369430.25,0.07480456680059433,0.17235074937343597,0.17235074937343597,0.0,0.0,0.0
0.17500001192092896,0.6194109916687012,0.4318081736564636,0.046955689787864685,0.046955689787864685,0.022992176935076714,0.0,2299221.25,0.07457716763019562,0.1389465481042862,0.1389465481042862,0.0,0.0,0.0
0.20000001788139343,0.6091869473457336,0.4220907986164093,0.04684701934456825,0.04684701934456825,0.022325780242681503,0.0,2232579.25,0.07445359230041504,0.4708722233772278,0.4708722233772278,0.0,0.0,0.0
0.2250000238418579,0.6123347878456116,0.4358835518360138,0.04699515178799629,0.04699515178799629,0.021812057122588158,0.0,2181208.5,0.07495557516813278,0.14171910285949707,0.14171910285949707,0.0,0.0,0.0
0.2500000298023224,0.6027482748031616,0.4231751561164856,0.045653510838747025,0.045653510838747025,0.021453913301229477,0.0,2145389.0,0.07514649629592896,0.2624169588088989,0.2624169588088989,0.0,0.0,0.0
0.27500003576278687,0.5893309712409973,0.40080922842025757,0.04466690495610237,0.04466690495610237,0.020944613963365555,0.0,2094461.5,0.07519505172967911,0.3151254653930664,0.3151254653930664,0.0,0.0,0.0
0.30000004172325134,0.5755535364151001,0.3825737237930298,0.043901704251766205,0.043901704251766205,0.020535176619887352,0.0,2053517.0,0.07555465400218964,0.149309903383255,0.149309903383255,0.0,0.0,0.0
0.3250000476837158,0.5672521591186523,0.3712155520915985,0.04319970682263374,0.04319970682263374,0.02017798088490963,0.0,2017798.5,0.07546274363994598,0.1057652086019516,0.1057652086019516,0.0,0.0,0.0
0.3500000536441803,0.5507374405860901,0.33971932530403137,0.04150651395320892,0.04150651395320892,0.020008167251944542,0.0,2000817.375,0.07513846457004547,0.1260627657175064,0.1260627657175064,0.0,0.0,0.0
0.3750000596046448,0.5389034748077393,0.31062066555023193,0.03985234722495079,0.03985234722495079,0.019832823425531387,0.0,1983280.0,0.07433848828077316,0.13576872646808624,0.13576872646808624,0.0,0.0,0.0
0.40000006556510925,0.5357893705368042,0.28607386350631714,0.03772140294313431,0.03772140294313431,0.019529351964592934,0.0,1952930.375,0.0735425055027008,0.12823322415351868,0.12823322415351868,0.0,0.0,0.0
0.42500007152557373,0.531987726688385,0.280108243227005,0.037022728472948074,0.037022728472948074,0.019331857562065125,0.0,1933187.875,0.07231205701828003,0.11415571719408035,0.11415571719408035,0.0,0.0,0.0
0.4500000774860382,0.5243197083473206,0.2596452236175537,0.03562400862574577,0.03562400862574577,0.01905566081404686,0.0,1905566.125,0.07084641605615616,0.11913889646530151,0.11913889646530151,0.0,0.0,0.0
0.4750000834465027,0.5194427967071533,0.24087224900722504,0.03480613976716995,0.03480613976716995,0.01877748779952526,0.0,1877750.875,0.06857984513044357,0.08382532745599747,0.08382532745599747,0.0,0.0,0.0
0.5000000596046448,0.514337956905365,0.22364506125450134,0.03406812995672226,0.03406812995672226,0.018532147631049156,0.0,1853211.875,0.06652440130710602,0.2582055926322937,0.2582055926322937,0.0,0.0,0.0
0.5249999761581421,0.5222135186195374,0.23288926482200623,0.03535911813378334,0.03535911813378334,0.01709514856338501,0.0,1709514.375,0.06527320295572281,0.13304941356182098,0.13304941356182098,0.0,0.0,0.0
0.550000011920929,0.5202987194061279,0.2352559119462967,0.036069538444280624,0.036069538444280624,0.016901981085538864,0.0,1690198.5,0.06445562094449997,0.1122598797082901,0.1122598797082901,0.0,0.0,0.0
0.574999988079071,0.5185155272483826,0.23520006239414215,0.03678862378001213,0.03678862378001213,0.016675548627972603,0.0,1667552.875,0.064307302236557,0.08879885822534561,0.08879885822534561,0.0,0.0,0.0
0.6000000238418579,0.5173282623291016,0.2346823662519455,0.03731846436858177,0.03731846436858177,0.01660015620291233,0.0,1660020.5,0.06485878676176071,0.1441967934370041,0.1441967934370041,0.0,0.0,0.0
0.625,0.5130147337913513,0.23617996275424957,0.04743843898177147,0.04743843898177147,0.016428958624601364,0.0,1642895.875,0.06550992280244827,0.15471599996089935,0.15471599996089935,0.0,0.0,0.0
0.6499999761581421,0.5101948380470276,0.23724263906478882,0.042207878082990646,0.042207878082990646,0.016339164227247238,0.0,1633916.125,0.06621722877025604,0.5522149801254272,0.5522149801254272,0.0,0.0,0.0
0.675000011920929,0.5076420307159424,0.24112236499786377,0.043827738612890244,0.043827738612890244,0.016283607110381126,0.0,1628359.75,0.0670754611492157,0.21333958208560944,0.21333958208560944,0.0,0.0,0.0
0.7000000476837158,0.504772424697876,0.24389439821243286,0.043990783393383026,0.043990783393383026,0.016217561438679695,0.0,1621755.375,0.06762327998876572,0.13304384052753448,0.13304384052753448,0.0,0.0,0.0
0.7250000238418579,0.501133382320404,0.24631555378437042,0.04765031114220619,0.04765031114220619,0.01605621539056301,0.0,1605621.125,0.0674629807472229,0.09633661061525345,0.09633661061525345,0.0,0.0,0.0
0.75,0.49875709414482117,0.24812477827072144,0.04380372539162636,0.04380372539162636,0.01584739424288273,0.0,1584740.125,0.06738324463367462,0.10410604625940323,0.10410604625940323,0.0,0.0,0.0
0.7750000357627869,0.4965086579322815,0.2526703476905823,0.047717250883579254,0.047717250883579254,0.015812845900654793,0.0,1581286.75,0.06702341884374619,0.12768135964870453,0.12768135964870453,0.0,0.0,0.0
0.8000000715255737,0.49390727281570435,0.2562602758407593,0.055525969713926315,0.055525969713926315,0.01571548357605934,0.0,1571547.875,0.0664258673787117,0.07592583447694778,0.07592583447694778,0.0,0.0,0.0
0.8250000476837158,0.48968857526779175,0.25436919927597046,0.04967309907078743,0.04967309907078743,0.01559255737811327,0.0,1559256.625,0.06568067520856857,0.07689400762319565,0.07689400762319565,0.0,0.0,0.0
0.8500000238418579,0.4861011803150177,0.2511374056339264,0.04888492450118065,0.04888492450118065,0.015378297306597233,0.0,1537832.625,0.06554345786571503,0.07252690196037292,0.07252690196037292,0.0,0.0,0.0
0.8750000596046448,0.48227351903915405,0.24884262681007385,0.056147076189517975,0.056147076189517975,0.01518216822296381,0.0,1518219.0,0.06548485159873962,0.07633048295974731,0.07633048295974731,0.0,0.0,0.0
0.9000000953674316,0.47718727588653564,0.24415546655654907,0.04966655373573303,0.04966655373573303,0.015008318237960339,0.0,1500834.125,0.06594479084014893,0.10855685919523239,0.10855685919523239,0.0,0.0,0.0
