t,mean_abs_error_y,mean_abs_error_Z_S,mean_rel_error_Z_S,mean_rel_error_Z_S_legacy,mean_abs_error_Z_H,mean_rel_error_Z_H,mean_rel_error_Z_H_legacy,mean_abs_error_Z_V,mean_rel_error_Z_V,mean_rel_error_Z_V_legacy,mean_abs_error_Z_X,mean_rel_error_Z_X,mean_rel_error_Z_X_legacy
0.0,0.6620091199874878,0.8578486442565918,0.07725058495998383,0.07725058495998383,0.09199310839176178,0.0,9199325.0,0.08848854899406433,0.10246766358613968,0.10246766358613968,0.0,0.0,0.0
0.02500000037252903,0.6545249223709106,0.8557157516479492,0.07365474104881287,0.07365474104881287,0.09182879328727722,0.0,9182886.0,0.08241531252861023,0.1311599314212799,0.1311599314212799,0.0,0.0,0.0
0.05000000074505806,0.6200118660926819,0.8095214366912842,0.07250633835792542,0.07250633835792542,0.08892816305160522,0.0,8892819.0,0.07639481127262115,0.1359368860721588,0.1359368860721588,0.0,0.0,0.0
0.07500000298023224,0.6082898378372192,0.8100263476371765,0.07108886539936066,0.07108886539936066,0.08518645167350769,0.0,8518631.0,0.07448919117450714,0.09176009893417358,0.09176009893417358,0.0,0.0,0.0
0.10000000149011612,0.607900857925415,0.8130688071250916,0.0707324892282486,0.0707324892282486,0.0844573825597763,0.0,8445731.0,0.07243338972330093,0.078140027821064,0.078140027821064,0.0,0.0,0.0
0.125,0.5875653028488159,0.7899484634399414,0.0698428824543953,0.0698428824543953,0.07988245785236359,0.0,7988243.0,0.06957046687602997,0.05088904872536659,0.05088904872536659,0.0,0.0,0.0
0.15000000596046448,0.5459601879119873,0.745705246925354,0.07031887769699097,0.07031887769699097,0.07422652840614319,0.0,7422656.0,0.06628106534481049,0.049261946231126785,0.049261946231126785,0.0,0.0,0.0
0.17500001192092896,0.5402143001556396,0.7400502562522888,0.0690130740404129,0.0690130740404129,0.07071349024772644,0.0,7071351.5,0.0632382482290268,0.056031905114650726,0.056031905114650726,0.0,0.0,0.0
0.20000001788139343,0.5251669883728027,0.736724317073822,0.06734026223421097,0.06734026223421097,0.06725198030471802,0.0,6725202.5,0.060483019798994064,0.09208402782678604,0.09208402782678604,0.0,0.0,0.0
0.2250000238418579,0.5277619361877441,0.7514598369598389,0.06809582561254501,0.06809582561254501,0.06543582677841187,0.0,6543575.5,0.05975036695599556,0.060929179191589355,0.060929179191589355,0.0,0.0,0.0
0.2500000298023224,0.5131608247756958,0.7354393601417542,0.06712997704744339,0.06712997704744339,0.06175563856959343,0.0,6175569.5,0.05750340223312378,0.07384256273508072,0.07384256273508072,0.0,0.0,0.0
0.27500003576278687,0.49132832884788513,0.7036968469619751,0.06662335246801376,0.06662335246801376,0.058235008269548416,0.0,5823508.5,0.056166451424360275,0.09830249845981598,0.09830249845981598,0.0,0.0,0.0
