pass,block,t_start,t_end,T_block,eval_mean_loss,eval_std_loss,eval_mean_y0,precision_target,refine_rounds,stage_plan_used,final_plan_used,refine_plan_used,blob_path,ckpt_path
3,0,0.0,12.0,12.0,11.689308166503906,1.5981277826502993,-32.565792083740234,8.24299156188965,3,"[[3500, 0.001], [3000, 0.0001], [3000, 5e-05]]","[[2000, 1e-05], [2000, 5e-06]]","[[800, 1e-05], [800, 5e-06], [800, 2e-06]]",recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_3/block_00.npz,recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_3/block_00.ckpt
3,1,12.0,24.0,12.0,7.443513679504394,0.7459410068890782,-20.41660499572754,8.24299156188965,0,"[[3500, 0.001], [3000, 0.0001], [3000, 5e-05]]","[[2000, 1e-05], [2000, 5e-06]]","[[800, 1e-05], [800, 5e-06], [800, 2e-06]]",recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_3/block_01.npz,recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_3/block_01.ckpt
3,2,24.0,36.0,12.0,7.493628692626953,0.6575167219293843,-15.540156364440918,,0,"[[3500, 0.001], [3000, 0.0001], [3000, 5e-05]]","[[2000, 1e-05], [2000, 5e-06]]","[[800, 1e-05], [800, 5e-06], [800, 2e-06]]",recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_3/block_02.npz,recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_3/block_02.ckpt
