pass,block,t_start,t_end,T_block,eval_mean_loss,eval_std_loss,eval_mean_y0,precision_target,refine_rounds,stage_plan_used,final_plan_used,refine_plan_used,blob_path,ckpt_path
5,0,0.0,12.0,12.0,14.503172683715821,4.871224731963065,-42.92708206176758,7.898792152404786,3,"[[3500, 0.001], [3000, 0.0001], [3000, 5e-05]]","[[2000, 1e-05], [2000, 5e-06]]","[[800, 1e-05], [800, 5e-06], [800, 2e-06]]",recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_5/block_00.npz,recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_5/block_00.ckpt
5,1,12.0,24.0,12.0,7.137577629089355,0.6817694958120578,-25.24365234375,7.898792152404786,0,"[[3500, 0.001], [3000, 0.0001], [3000, 5e-05]]","[[2000, 1e-05], [2000, 5e-06]]","[[800, 1e-05], [800, 5e-06], [800, 2e-06]]",recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_5/block_01.npz,recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_5/block_01.ckpt
5,2,24.0,36.0,12.0,7.1807201385498045,1.2411475077709502,-15.36917781829834,,0,"[[3500, 0.001], [3000, 0.0001], [3000, 5e-05]]","[[2000, 1e-05], [2000, 5e-06]]","[[800, 1e-05], [800, 5e-06], [800, 2e-06]]",recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_5/block_02.npz,recursive1_outputs_ab/jitter005/run_20260219_142412/recursive/models/pass_5/block_02.ckpt
