pass,block,t_start,t_end,T_block,eval_mean_loss,eval_std_loss,eval_mean_loss_per_sample,eval_std_loss_per_sample,eval_mean_y0,precision_target,refine_rounds,stage_plan_used,final_plan_used,refine_plan_used,blob_path,ckpt_path
5,0,0.0,12.0,12.0,131.58355102539062,10.17999476454604,0.13158355102539063,0.010179994764546037,-57.97415542602539,82.5354559326172,3,"[[4000, 0.0001], [4000, 5e-05], [3000, 2e-05]]","[[2500, 1e-05], [2000, 5e-06], [1500, 2e-06]]","[[1200, 1e-05], [1200, 5e-06], [1200, 2e-06], [800, 1e-06]]",recursive1_outputs/prova_da_fare/run_20260227_163559/recursive/models/pass_5/block_00.npz,recursive1_outputs/prova_da_fare/run_20260227_163559/recursive/models/pass_5/block_00.ckpt
5,1,12.0,24.0,12.0,73.15011901855469,2.5367640138856618,0.0731501190185547,0.00253676401388566,-38.62232971191406,82.5354559326172,0,"[[1500, 0.0003], [2000, 0.0001], [2000, 5e-05]]","[[1500, 1e-05], [1500, 5e-06], [1000, 2e-06]]","[[800, 1e-05], [800, 5e-06], [800, 2e-06], [600, 1e-06]]",recursive1_outputs/prova_da_fare/run_20260227_163559/recursive/models/pass_5/block_01.npz,recursive1_outputs/prova_da_fare/run_20260227_163559/recursive/models/pass_5/block_01.ckpt
5,2,24.0,36.0,12.0,75.03223266601563,2.9071843559200174,0.07503223266601564,0.002907184355920017,-17.795677185058594,,0,"[[2000, 0.0005], [2000, 0.0001], [1500, 5e-05]]","[[1500, 1e-05], [1500, 5e-06]]","[[800, 1e-05], [800, 5e-06], [800, 2e-06], [600, 1e-06]]",recursive1_outputs/prova_da_fare/run_20260227_163559/recursive/models/pass_5/block_02.npz,recursive1_outputs/prova_da_fare/run_20260227_163559/recursive/models/pass_5/block_02.ckpt
