"Durata misurazione","Produzione (W)","Alla batteria (W)","Alla rete (W)","Verso la casa (W)","Consumo (W)","Dalla batteria (W)","Dalla rete (W)","Dal sole (W)","Livello accumulo"
"29/09/2025 00:00","0","0","0","0","359.75","356.97","2.78","0","0.29294023"
"29/09/2025 00:15","0","0","0","0","416.43","416.43","0","0","0.28332853"
"29/09/2025 00:30","0","0","0","0","344.08002","339.8567","4.223334","0","0.2743176"
"29/09/2025 00:45","0","0","0","0","251.00334","251.00334","0","0","0.26500627"
"29/09/2025 01:00","0","0","0","0","251.51334","246.33336","5.1800003","0","0.25549468"
"29/09/2025 01:15","0","0","0","0","281.33","280.10333","1.2266667","0","0.24815243"
"29/09/2025 01:30","0","0","0","0","315.70667","314.54","1.1666666","0","0.24034293"
"29/09/2025 01:45","0","0","0","0","252.12001","249.33336","2.7866669","0","0.23193271"
"29/09/2025 02:00","0","0","0","0","301.03336","301.03336","0","0","0.22368935"
"29/09/2025 02:15","0","0","0","0","290.5833","288.3333","2.2499998","0","0.21541262"
"29/09/2025 02:30","0","0","0","0","506.11002","504.85","1.26","0","0.20399873"
"29/09/2025 02:45","0","0","0","0","287.27667","284.6667","2.6100004","0","0.19348595"
"29/09/2025 03:00","0","0","0","0","257.38998","257.27664","0.11333332","0","0.1852426"
"29/09/2025 03:15","0","0","0","0","251.86","251.75","0.11000001","0","0.176532"
"29/09/2025 03:30","0","0","0","0","320.66666","317.52","3.1466665","0","0.1678214"
"29/09/2025 03:45","0","0","0","0","369.66333","367.00665","2.6566665","0","0.15941118"
"29/09/2025 04:00","0","0","0","0","273.31","273.31","0","0","0.15160169"
"29/09/2025 04:15","0","0","0","0","229.87","228.50667","1.3633333","0","0.14726306"
"29/09/2025 04:30","0","0","0","0","251.43333","250.71667","0.71666664","0","0.13881947"
"29/09/2025 04:45","0","0","0","0","305.93332","304.4","1.5333333","0","0.13040924"
"29/09/2025 05:00","0","0","0","0","302.96667","302.54333","0.42333332","0","0.12259974"
"29/09/2025 05:15","0","0","0","0","226.09334","225.52333","0.57","0","0.11796077"
"29/09/2025 05:30","0","0","0","0","287.93","286.3033","1.6266664","0","0.110117905"
"29/09/2025 05:45","0","0","0","0","308.26666","306","2.2666667","0","0.101874545"
"29/09/2025 06:00","0","0","0","0","302.04","301.29","0.75","0","0.09333083"
"29/09/2025 06:15","0","0","0","0","297.62","295.66666","1.9533333","0","0.08148309"
"29/09/2025 06:30","0","0","0","0","220.95334","217.72","3.2333333","0","0.07337323"
