"Durata misurazione","Produzione (W)","Alla batteria (W)","Alla rete (W)","Verso la casa (W)","Consumo (W)","Dalla batteria (W)","Dalla rete (W)","Dal sole (W)","Livello accumulo"
"1/09/2025 00:00","0","0","0","0","409.69998","408.90665","0.79333335","0","0.5291134"
"1/09/2025 00:15","0","0","0","0","375.08","373.45667","1.6233333","0","0.5195678"
"1/09/2025 00:30","0","0","0","0","455.92334","455.14","0.7833333","0","0.5079341"
"1/09/2025 00:45","0","0","0","0","321.90332","318.45667","3.4466667","0","0.49570382"
"1/09/2025 01:00","0","0","0","0","306.06668","306.06668","0","0","0.48735142"
"1/09/2025 01:15","0","0","0","0","293.94","293.33334","0.6066667","0","0.47899905"
"1/09/2025 01:30","0","0","0","0","392.03333","389.96332","2.0699997","0","0.46885684"
"1/09/2025 01:45","0","0","0","0","281.12668","280.83002","0.29666668","0","0.46093532"
"1/09/2025 02:00","0","0","0","0","180.53333","180.19666","0.33666667","0","0.45424017"
"1/09/2025 02:15","0","0","0","0","304.04666","302.55667","1.4900001","0","0.44678268"
"1/09/2025 02:30","0","0","0","0","312.39667","310.26","2.1366665","0","0.43753538"
"1/09/2025 02:45","0","0","0","0","276.1967","274.98334","1.2133334","0","0.4305419"
"1/09/2025 03:00","0","0","0","0","289.01334","286.66666","2.3466666","0","0.423217"
"1/09/2025 03:15","0","0","0","0","377.00333","375.8633","1.14","0","0.41423485"
"1/09/2025 03:30","0","0","0","0","327.3633","326.56332","0.8","0","0.4044241"
"1/09/2025 03:45","0","0","0","0","306.00998","300.58664","5.423333","0","0.39713234"
"1/09/2025 04:00","0","0","0","0","323.94003","322.6667","1.2733335","0","0.38904512"
"1/09/2025 04:15","0","0","0","0","374.76663","374.76663","0","0","0.37830633"
"1/09/2025 04:30","0","0","0","0","256.80667","251.67","5.136667","0","0.36773324"
"1/09/2025 04:45","0","0","0","0","308.03668","307.59335","0.44333336","0","0.35951343"
"1/09/2025 05:00","0","0","0","0","310.3967","309.78336","0.61333334","0","0.35132676"
"1/09/2025 05:15","0","0","0","0","337.99667","336.47668","1.52","0","0.34148288"
"1/09/2025 05:30","0","0","0","0","315.27335","312.6667","2.606667","0","0.33220243"
"1/09/2025 05:45","0","0","0","0","289.29","286","3.29","0","0.3238832"
"1/09/2025 06:00","0","0","0","0","386.09","385.33334","0.75666666","0","0.31655827"
"1/09/2025 06:15","0","0","0","0","390.3033","389.34665","0.9566666","0","0.3064161"
"1/09/2025 06:30","0","0","0","0","247.53333","247.32999","0.20333332","0","0.29793113"
"1/09/2025 06:45","37.61","0","0.6533334","36.95667","267.06","229.08333","1.02","36.95667","0.28987703"
"1/09/2025 07:00","144.16667","0","1.3633335","142.80334","426.47665","281.3333","2.3399997","142.80334","0.28122634"
"1/09/2025 07:15","319.54666","0","1.3499999","318.19666","427.86337","109.66672","0","318.19666","0.27168074"
"1/09/2025 07:30","475.91666","155.99666","1.2633333","318.65665","319.48","0","0.82336426","318.65665","0.26839945"
"1/09/2025 07:45","633.88336","269.33334","0.36333334","364.18668","364.33","0","0.14331055","364.18668","0.27526036"
"1/09/2025 08:00","821.26666","217","18.4","585.86664","586.73","0","0.8633333","585.86664","0.28109378"
"1/09/2025 08:15","979.23","610.6667","1.2633333","367.30002","367.84335","0","0.54333335","367.30002","0.29375494"
"1/09/2025 08:30","1195.98","608","384.95667","203.02332","327.10666","122.666664","1.4166666","203.02332","0.30565378"
"1/09/2025 08:45","1436.8433","1200.9999","0.7033333","235.14","235.81667","0","0.6766667","235.14","0.32504326"
