source_mode,pass_id,pass_index,n_blocks,n_paths,n_time_points,mean_y0,std_y0,mean_abs_y,mean_abs_z,drift_y_vs_prev,drift_z_vs_prev,prev_pass_index,exact_mean_abs_error_y,exact_mean_abs_error_z,exact_abs_error_mean_y0,exact_rmse_y,exact_rmse_y0
models,1,0,4,256,481,-31.232236862182617,33.79290771484375,17.88933753967285,2.3390798568725586,nan,nan,,4.658690929412842,0.33998361229896545,11.375558853149414,6.01522970199585,11.7782564163208
models,2,1,4,256,481,-54.87445831298828,34.336734771728516,27.490108489990234,2.2622218132019043,9.963020324707031,0.19790306687355042,0,14.228601455688477,0.441226601600647,35.017784118652344,18.458293914794922,35.453956604003906
models,3,2,4,256,481,-104.81527709960938,28.553878784179688,61.89857864379883,2.3077430725097656,34.87425994873047,0.3896215260028839,1,48.62924575805664,0.5219615697860718,85.2361068725586,60.77920913696289,85.3419189453125
